date,time,batteryVoltage,batteryCurrent,panelVoltage,panelPower
25/3/2015,10:44:52 AM,25330,300,29760,9
25/3/2015,10:44:53 AM,25330,300,31080,9
25/3/2015,10:44:53 AM,25330,300,30930,9
25/3/2015,10:44:54 AM,25330,300,30730,9
25/3/2015,10:44:54 AM,25330,300,30600,9
25/3/2015,10:44:55 AM,25330,300,33970,10
25/3/2015,10:44:55 AM,25330,300,36530,10
25/3/2015,10:44:56 AM,25330,300,41130,10
25/3/2015,10:44:56 AM,25330,300,39290,10
25/3/2015,10:44:57 AM,25330,300,34610,10
25/3/2015,10:44:57 AM,25330,300,31370,10
25/3/2015,10:44:58 AM,25330,300,30690,10
25/3/2015,10:44:58 AM,25330,300,30870,9
25/3/2015,10:44:59 AM,25330,300,31130,9
25/3/2015,10:44:59 AM,25330,300,30230,10
25/3/2015,10:45:00 AM,25330,300,30110,9
25/3/2015,10:45:00 AM,25330,300,31130,9
25/3/2015,10:45:01 AM,25330,300,31000,9
25/3/2015,10:45:01 AM,25320,300,30730,10
25/3/2015,10:45:02 AM,25330,300,30630,10
25/3/2015,10:45:02 AM,25330,300,30910,10
25/3/2015,10:45:03 AM,25330,300,31120,10
25/3/2015,10:45:03 AM,25330,300,30160,10
25/3/2015,10:45:04 AM,25330,300,28770,10
25/3/2015,10:45:04 AM,25330,300,28170,9
25/3/2015,10:45:05 AM,25330,300,29310,10
25/3/2015,10:45:05 AM,25330,300,30520,10
25/3/2015,10:45:06 AM,25330,300,31030,10
25/3/2015,10:45:06 AM,25330,300,30770,10
25/3/2015,10:45:07 AM,25320,300,30630,10
25/3/2015,10:45:07 AM,25320,300,33200,10
25/3/2015,10:45:07 AM,25320,400,35010,10
25/3/2015,10:45:08 AM,25320,400,40360,11
25/3/2015,10:45:08 AM,25330,400,41220,11
25/3/2015,10:45:09 AM,25330,400,35900,12
25/3/2015,10:45:09 AM,25330,400,33460,11
25/3/2015,10:45:10 AM,25330,300,30770,11
25/3/2015,10:45:10 AM,25330,300,30880,10
25/3/2015,10:45:11 AM,25330,400,31130,10
